;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
226;Model 2;Method 1;144;0.95;sent_nu;0.1;0.108;0.104;-0.08;0.019
227;Model 2;Method 1;144;0.95;cost_nu;-0.1;-0.109;-0.106;-0.09;0.013
228;Model 2;Method 1;144;0.95;(Intercept)_delta;-0.5;-0.566;-0.562;-0.132;0.024
229;Model 2;Method 1;144;0.95;semester2_delta;-0.25;-0.28;-0.276;-0.12;0.064
230;Model 2;Method 1;144;0.95;alpha;0.95;0.936;0.938;0.015;0.002
231;Model 2;Method 1;168;0.35;sent_nu;0.1;0.095;0.094;0.05;0.008
232;Model 2;Method 1;168;0.35;cost_nu;-0.1;-0.082;-0.081;0.18;0.007
233;Model 2;Method 1;168;0.35;(Intercept)_delta;-0.5;-0.759;-0.774;-0.518;0.204
234;Model 2;Method 1;168;0.35;semester2_delta;-0.25;-0.21;-0.21;0.16;0.099
235;Model 2;Method 1;168;0.35;alpha;0.35;0.447;0.443;-0.277;0.012
236;Model 2;Method 1;168;0.5;sent_nu;0.1;0.095;0.094;0.05;0.01
237;Model 2;Method 1;168;0.5;cost_nu;-0.1;-0.093;-0.092;0.07;0.009
238;Model 2;Method 1;168;0.5;(Intercept)_delta;-0.5;-0.568;-0.544;-0.136;0.107
239;Model 2;Method 1;168;0.5;semester2_delta;-0.25;-0.219;-0.21;0.124;0.088
240;Model 2;Method 1;168;0.5;alpha;0.5;0.539;0.541;-0.078;0.004
241;Model 2;Method 1;168;0.65;sent_nu;0.1;0.093;0.094;0.07;0.013
242;Model 2;Method 1;168;0.65;cost_nu;-0.1;-0.095;-0.096;0.05;0.012
243;Model 2;Method 1;168;0.65;(Intercept)_delta;-0.5;-0.511;-0.505;-0.022;0.06
244;Model 2;Method 1;168;0.65;semester2_delta;-0.25;-0.241;-0.236;0.036;0.076
245;Model 2;Method 1;168;0.65;alpha;0.65;0.668;0.668;-0.028;0.003
246;Model 2;Method 1;168;0.8;sent_nu;0.1;0.099;0.097;0.01;0.014
247;Model 2;Method 1;168;0.8;cost_nu;-0.1;-0.098;-0.098;0.02;0.012
248;Model 2;Method 1;168;0.8;(Intercept)_delta;-0.5;-0.518;-0.514;-0.036;0.03
249;Model 2;Method 1;168;0.8;semester2_delta;-0.25;-0.252;-0.249;-0.008;0.061
250;Model 2;Method 1;168;0.8;alpha;0.8;0.807;0.808;-0.009;0.002
251;Model 2;Method 1;168;0.95;sent_nu;0.1;0.111;0.109;-0.11;0.015
252;Model 2;Method 1;168;0.95;cost_nu;-0.1;-0.107;-0.108;-0.07;0.01
253;Model 2;Method 1;168;0.95;(Intercept)_delta;-0.5;-0.564;-0.559;-0.128;0.02
254;Model 2;Method 1;168;0.95;semester2_delta;-0.25;-0.273;-0.278;-0.092;0.052
255;Model 2;Method 1;168;0.95;alpha;0.95;0.936;0.937;0.015;0.001
256;Model 2;Method 2;84;0.35;sent_nu;0.1;0.108;0.103;-0.08;0.038
257;Model 2;Method 2;84;0.35;cost_nu;-0.1;-0.081;-0.083;0.19;0.032
258;Model 2;Method 2;84;0.35;(Intercept)_delta;-0.5;-1.031;-0.764;-1.062;1.281
259;Model 2;Method 2;84;0.35;semester2_delta;-0.25;-0.234;-0.188;0.064;0.45
260;Model 2;Method 2;84;0.35;alpha;0.35;0.46;0.458;-0.314;0.016
261;Model 2;Method 2;84;0.5;sent_nu;0.1;0.112;0.111;-0.12;0.04
262;Model 2;Method 2;84;0.5;cost_nu;-0.1;-0.099;-0.097;0.01;0.04
263;Model 2;Method 2;84;0.5;(Intercept)_delta;-0.5;-0.767;-0.639;-0.534;0.454
264;Model 2;Method 2;84;0.5;semester2_delta;-0.25;-0.242;-0.216;0.032;0.347
265;Model 2;Method 2;84;0.5;alpha;0.5;0.524;0.524;-0.048;0.006
266;Model 2;Method 2;84;0.65;sent_nu;0.1;0.109;0.109;-0.09;0.042
267;Model 2;Method 2;84;0.65;cost_nu;-0.1;-0.1;-0.099;0;0.038
268;Model 2;Method 2;84;0.65;(Intercept)_delta;-0.5;-1.782;-1.001;-2.564;3.935
269;Model 2;Method 2;84;0.65;semester2_delta;-0.25;-0.298;-0.265;-0.192;0.357
270;Model 2;Method 2;84;0.65;alpha;0.65;0.566;0.59;0.129;0.026
271;Model 2;Method 2;84;0.8;sent_nu;0.1;0.106;0.118;-0.06;0.045
272;Model 2;Method 2;84;0.8;cost_nu;-0.1;-0.103;-0.098;-0.03;0.032
273;Model 2;Method 2;84;0.8;(Intercept)_delta;-0.5;-2.225;-1.757;-3.45;5.694
274;Model 2;Method 2;84;0.8;semester2_delta;-0.25;-0.328;-0.287;-0.312;0.318
275;Model 2;Method 2;84;0.8;alpha;0.8;0.587;0.486;0.266;0.088
276;Model 2;Method 2;84;0.95;sent_nu;0.1;0.086;0.096;0.14;0.05
277;Model 2;Method 2;84;0.95;cost_nu;-0.1;-0.103;-0.107;-0.03;0.031
278;Model 2;Method 2;84;0.95;(Intercept)_delta;-0.5;-2.787;-2.469;-4.574;8.435
279;Model 2;Method 2;84;0.95;semester2_delta;-0.25;-0.558;-0.382;-1.232;0.874
280;Model 2;Method 2;84;0.95;alpha;0.95;0.556;0.421;0.415;0.216
281;Model 2;Method 2;144;0.35;sent_nu;0.1;0.057;0.054;0.43;0.04
282;Model 2;Method 2;144;0.35;cost_nu;-0.1;-0.059;-0.059;0.41;0.034
283;Model 2;Method 2;144;0.35;(Intercept)_delta;-0.5;-3.381;-3.411;-5.762;10.185
284;Model 2;Method 2;144;0.35;semester2_delta;-0.25;-0.997;-1.009;-2.988;1.506
285;Model 2;Method 2;144;0.35;alpha;0.35;0.452;0.448;-0.291;0.012
286;Model 2;Method 2;144;0.5;sent_nu;0.1;0.069;0.074;0.31;0.037
287;Model 2;Method 2;144;0.5;cost_nu;-0.1;-0.078;-0.076;0.22;0.034
288;Model 2;Method 2;144;0.5;(Intercept)_delta;-0.5;-2.556;-2.735;-4.112;6.278
289;Model 2;Method 2;144;0.5;semester2_delta;-0.25;-0.685;-0.631;-1.74;0.879
290;Model 2;Method 2;144;0.5;alpha;0.5;0.536;0.533;-0.072;0.005
291;Model 2;Method 2;144;0.65;sent_nu;0.1;0.108;0.104;-0.08;0.026
292;Model 2;Method 2;144;0.65;cost_nu;-0.1;-0.091;-0.091;0.09;0.023
293;Model 2;Method 2;144;0.65;(Intercept)_delta;-0.5;-0.547;-0.519;-0.094;0.045
